user_input,reference_contexts,reference,persona_name,query_style,query_length,synthesizer_name
How does Daytona relate to the functionality of coding agents within a sandbox environment?,"['# Sandboxes\nSource: https://docs.langchain.com/oss/python/deepagents/sandboxes\n\nExecute code in isolated environments with sandbox backends\n\nAgents generate code, interact with filesystems, and run shell commands. Because we can\'t predict what an agent might do, it\'s important that its environment is isolated so it can\'t access credentials, files, or the network. Sandboxes provide this isolation by creating a boundary between the agent\'s execution environment and your host system.\n\nIn Deep Agents, **sandboxes are [backends](/oss/python/deepagents/backends)** that define the environment where the agent operates. Unlike other backends (State, Filesystem, Store) which only expose file operations, sandbox backends also give the agent an `execute` tool for running shell commands. When you configure a sandbox backend, the agent gets:\n\n* All standard filesystem tools (`ls`, `read_file`, `write_file`, `edit_file`, `delete`, `glob`, `grep`)\n\n* The `execute` tool for running arbitrary shell commands in the sandbox\n\n* A secure boundary that protects your host system\n\n```mermaid theme={""theme"":{""light"":""catppuccin-latte"",""dark"":""catppuccin-mocha""}}\ngraph LR\n    subgraph Agent\n        LLM --> Tools\n        Tools --> LLM\n    end\n\n    Agent <-- backend protocol --> Sandbox\n\n    subgraph Sandbox\n        Filesystem\n        Bash\n        Dependencies\n    end\n\n    classDef process fill:#E5F4FF,stroke:#006DDD,stroke-width:2px,color:#030710\n    classDef output fill:#EBD0F0,stroke:#885270,stroke-width:2px,color:#441E33\n\n    class LLM,Tools process\n    class Filesystem,Bash,Dependencies output\n```\n\n##  Why use sandboxes?\n\nSandboxes are used for security.\nThey let agents execute arbitrary code, access files, and use the network without compromising your credentials, local files, or host system.\nThis isolation is essential when agents run autonomously.\n\nSandboxes are especially useful for:\n\n* Coding agents: Agents that run autonomously can use shell, git, clone repositories (many providers offer native git APIs, e.g., [Daytona\'s git operations](https://www.daytona.io/docs/en/git-operations/)), and run Docker-in-Docker for build and test pipelines\n* Data analysis agents—Load files, install data analysis libraries (pandas, numpy, etc.), run statistical calculations, and create outputs like PowerPoint presentations in a safe, isolated environment\n\n<Tip>\n  **Using Deep Agents Code?** Deep Agents Code has built-in sandbox support via the `--sandbox` flag. See [Use remote sandboxes](/oss/python/deepagents/code/remote-sandboxes) for Deep Agents Code-specific setup, flags (`--sandbox-id`, `--sandbox-setup`), and examples.\n</Tip>\n\n<Note>\n  **If you\'re looking for LangSmith sandboxes:** LangSmith provides first-party managed sandboxes you can use directly from the LangSmith UI or SDK without a third-party account required. For managed sandbox resources, snapshots, service URLs, and the auth proxy, refer to [LangSmith Sandboxes](/langsmith/sandboxes).\n</Note>\n\n## ']","Daytona is mentioned as a provider that offers native git APIs, which coding agents can utilize while operating within a sandbox to perform tasks such as cloning repositories.",Elena Vance,PERFECT_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
How can I use LangChain middleware to secure my sandbox and what should I do if I have to inject secrets?,"['<1-hop>\n\nhandle authentication there. The agent calls these tools by name, but never sees the credentials. This is the recommended approach. 2. **Use a network proxy that injects credentials.** Some sandbox providers support proxies that intercept outgoing HTTP requests from the sandbox and attach credentials (e.g., `Authorization` headers) before forwarding them. The agent never sees the secret—it just makes plain requests to a URL. This approach is not yet widely available across providers. <Warning> If you must inject secrets into a sandbox (not recommended), take these precautions: * Enable [human-in-the-loop](/oss/python/deepagents/human-in-the-loop) approval for **all** tool calls, not just sensitive ones * Block or restrict network access from the sandbox to limit exfiltration paths * Use the narrowest possible credential scope and shortest possible lifetime * Monitor sandbox network traffic for unexpected outbound requests Even with these safeguards, this remains an unsafe workaround. A sufficiently creative enough context injection attack can bypass output filtering and HITL review. </Warning> ### General best practices * Review sandbox outputs before acting on them in your application * Block sandbox network access when not needed * Use [middleware](/oss/python/langchain/middleware) to filter or redact sensitive patterns in tool outputs * Treat everything produced inside the sandbox as untrusted input *** <div> <Callout icon=""terminal-2""> [Connect these docs](/use-these-docs) to Claude, VSCode, and more via MCP for real-time answers. </Callout> <Callout icon=""edit""> [Edit this page on GitHub](https://github.com/langchain-ai/docs/edit/main/src/oss/deepagents/sandboxes.mdx) or [file an issue](https://github.com/langchain-ai/docs/issues/new/choose). </Callout> </div>']","To secure your sandbox, you should use LangChain middleware to filter or redact sensitive patterns in tool outputs. If you must inject secrets into a sandbox, which is not recommended, you should enable human-in-the-loop approval for all tool calls, block or restrict network access to limit exfiltration, use the narrowest possible credential scope with the shortest lifetime, and monitor sandbox network traffic for unexpected outbound requests.",,,,multi_hop_specific_query_synthesizer
"As a Full-Stack AI Engineer, how should I effectively utilize a Large Language Model within Deep Agents to facilitate multimodal workflows, and what specific considerations must be kept in mind regarding context management?","['# Multimodal inputs and outputs\nSource: https://docs.langchain.com/oss/python/deepagents/multimodal\n\nUse images, audio, video, and documents with Deep Agents when your model supports multimodal inputs and tool results\n\nDeep Agents supports multimodal workflows when you use a [Large Language Model](/oss/python/integrations/chat) that accepts multimodal inputs and tool results or returns multimodal outputs. You can attach images and other media to user messages, read non-text files with the built-in `read_file` tool, and return multimodal content from custom tools.\n\nBuilt-in [context compression](/oss/python/deepagents/context-engineering#context-compression) is primarily text-oriented. Plan multimodal workloads accordingly: store large media in a backend and pass references when possible.\n\n##  Multimodal user input\n\nPass multimodal content in the `messages` you send to the agent, using the same [standard content blocks](/oss/python/langchain/messages#standard-content-blocks) as LangChain chat models:\n\n```python theme={""theme"":{""light"":""catppuccin-latte"",""dark"":""catppuccin-mocha""}}\nresult = agent.invoke({\n    ""messages"": [{\n        ""role"": ""user"",\n        ""content"": [\n            {""type"": ""text"", ""text"": ""What is in this screenshot?""},\n            {""type"": ""image"", ""url"": ""https://example.com/screenshot.png""},\n        ],\n    }],\n})\n```\n\nFor block types, provider-specific requirements, and additional examples (PDF, audio, video), see [Multimodal messages](/oss/python/langchain/messages#multimodal).\n\n## Built-in `read_file` tool\n\nThe harness `read_file` tool returns [standard content blocks](/oss/python/langchain/messages#standard-content-blocks) for supported multimodal files instead of plain text. The agent can inspect images, documents, and media stored in its [filesystem](/oss/python/deepagents/overview#virtual-filesystem-access) when the selected model supports the corresponding modality. Check the provider\'s documentation for your model\'s supported MIME types.\n\n<Accordion title=""Supported multimodal file extensions"">\n  | Type                                               | Extensions                                                                |\n  | -------------------------------------------------- | ------------------------------------------------------------------------- |\n  | [Image](/oss/python/langchain/messages#multimodal) | `.png`, `.jpg`, `.jpeg`, `.gif`, `.webp`, `.heic`, `.heif`                |\n  | [Video](/oss/python/langchain/messages#multimodal) | `.mp4`, `.mpeg`, `.mov`, `.avi`, `.flv`, `.mpg`, `.webm`, `.wmv`, `.3gpp` |\n  | [Audio](/oss/python/langchain/messages#multimodal) | `.wav`, `.mp3`, `.aiff`, `.aac`, `.ogg`, `.flac`                          |\n  | [File](/oss/python/langchain/messages#multimodal)  | `.pdf`, `.ppt`, `.pptx`                                                   |\n</Accordion>\n\n## ']","To utilize a Large Language Model for multimodal workflows in Deep Agents, you must select a model that supports multimodal inputs, tool results, and multimodal outputs. You can attach various media types to user messages using standard content blocks, utilize the built-in read_file tool to inspect non-text files like images, documents, and media stored in the virtual filesystem, and return multimodal content from custom tools. Regarding context management, it is important to note that built-in context compression is primarily text-oriented; therefore, you should plan multimodal workloads by storing large media files in a backend and passing references to them whenever possible.",Elena Vance,PERFECT_GRAMMAR,LONG,single_hop_specific_query_synthesizer
"In the context of DeepAgents, how should a developer handle large binary data or images produced by custom tools to maintain efficient message history?","['<1-hop>\n\nCustom tool outputs\n\n[Custom tools](/oss/python/deepagents/tools#custom-tools) can contain multimodal files, such as images:\n\n```python theme={""theme"":{""light"":""catppuccin-latte"",""dark"":""catppuccin-mocha""}}\nfrom langchain.tools import tool\n\n\n@tool\ndef capture_screenshot() -> list[dict]:\n    """"""Capture a screenshot of the current page.""""""\n    return [\n        {""type"": ""text"", ""text"": ""Screenshot of the current page:""},\n        {""type"": ""image"", ""url"": ""https://example.com/page.png""},\n    ]\n```\n\nThe return value is converted to a `ToolMessage` the model reads on the next turn. Access the normalized representation with `content_blocks` on the resulting message. For return-type options, serialization behavior, and MCP examples, see [Tool return values](/oss/python/langchain/tools#tool-return-values) and [Multimodal tool content](/oss/python/langchain/mcp#multimodal-tool-content).\n\n<Tip>\n  When a tool produces images or other large binary data, save the artifact to a [backend](/oss/python/deepagents/backends) and return a concise text description plus a path or URL. This keeps message history smaller and works better w']","When using DeepAgents, developers should save large binary data or images to a backend and return a concise text description along with the corresponding path or URL. This approach ensures that the message history remains smaller and functions more effectively.",,,,multi_hop_specific_query_synthesizer
"As a Full-Stack AI Engineer, how can I leverage the provided documentation to integrate my development environment with LangSmith for real-time assistance within VSCode?","['# Reference\nSource: https://docs.langchain.com/langsmith/deploy-reference-overview\n\nReference for the LangSmith Deployment SDKs, CLI, and APIs for deploying and interacting with agents.\n\nThis section is a reference for the SDKs, CLI, and APIs you use to deploy and interact with agents on the [Agent Server](/langsmith/agent-server) runtime.\n\n## SDKs and CLI\n\n<CardGroup>\n  <Card title=""LangSmith Deployments SDK"" icon=""package"" href=""/langsmith/smith-deployments-sdk"">\n    Management of LangSmith deployments and revisions using the LangGraph SDK.\n  </Card>\n</CardGroup>\n\n<CardGroup>\n  <Card title=""LangGraph CLI"" icon=""terminal"" href=""/langsmith/cli"">\n    Build, deploy, and interact with agents from the command line.\n  </Card>\n\n  <Card title=""RemoteGraph"" icon=""git-merge"" href=""/langsmith/remote-graph"">\n    Client-side interface for calling deployed graphs as if they were local.\n  </Card>\n</CardGroup>\n\n## APIs\n\n<CardGroup>\n  <Card title=""Agent Server API"" icon=""server"" href=""/langsmith/server-api-ref"">\n    REST endpoints exposed by the Agent Server runtime: assistants, threads, runs, cron jobs, and the long-term memory store.\n  </Card>\n\n  <Card title=""Control Plane API"" icon=""settings"" href=""/langsmith/api-ref-control-plane"">\n    REST endpoints for managing deployments, revisions, and listeners.\n  </Card>\n</CardGroup>\n\n## Releases\n\n<CardGroup>\n  <Card title=""Agent Server changelog"" icon=""versions"" href=""/langsmith/agent-server-changelog"">\n    Version history and release notes for the Agent Server runtime.\n  </Card>\n</CardGroup>\n\n***\n\n<div>\n  <Callout icon=""terminal-2"">\n    [Connect these docs](/use-these-docs) to Claude, VSCode, and more via MCP for real-time answers.\n  </Callout>\n\n  <Callout icon=""edit"">\n    [Edit this page on GitHub](https://github.com/langchain-ai/docs/edit/main/src/langsmith/deploy-reference-overview.mdx) or [file an issue](https://github.com/langchain-ai/docs/issues/new/choose).\n  </Callout>\n</div>']","According to the provided documentation, you can connect these specific LangSmith deployment and interaction docs to VSCode via the Model Context Protocol (MCP) to receive real-time answers.",Elena Vance,PERFECT_GRAMMAR,LONG,single_hop_specific_query_synthesizer
Can I use Deno Deploy to host my LangChain agent?,"['LangSmith Cloud or JavaScript frameworks and hosting platforms.\n\nWhen you are ready to deploy your LangChain agent to production, choose a hosting model that fits your stack. **[LangSmith Cloud](/langsmith/deploy-to-cloud)** provides fully managed infrastructure for stateful, long-running agents with persistent state and background execution.\n\nYou can also deploy on **JavaScript frameworks and platforms** such as Next.js, SvelteKit, Nuxt, Cloudflare Workers, and Deno Deploy using the same [Agent Streaming Protocol](https://github.com/langchain-ai/agent-protocol/tree/main/streaming).\n\n<div>\n  <div>\n    <p>Frameworks and platforms</p>\n\n    <a href=""/langsmith/deploy-frameworks-and-platforms"">\n      View all guides\n    </a>\n  </div>\n\n  <div>\n    <a href=""/langsmith/deploy-vite-langsmith"">\n      <img alt="""" />\n\n      <img alt="""" />\n\n      <span>LangSmith</span>\n    </a>\n\n    <a href=""/langsmith/deploy-nextjs"">\n      <img alt="""" />\n\n      <img alt="""" />\n\n      <span>Next.js</span>\n    </a>\n\n    <a href=""/langsmith/deploy-sveltekit"">\n      <img alt="""" />\n\n      <img alt="""" />\n\n      <span>SvelteKit</span>\n    </a>\n\n    <a href=""/langsmith/deploy-nuxt"">\n      <img alt="""" />\n\n      <img alt="""" />\n\n      <span>Nuxt</span>\n    </a>\n\n    <a href=""/langsmith/deploy-cloudflare-workers"">\n      <img alt="""" />\n\n      <img alt="""" />\n\n      <span>Cloudflare</span>\n    </a>\n\n    <a href=""/langsmith/deploy-deno"">\n      <img alt="""" />\n\n      <img alt="""" />\n\n      <span>Deno</span>\n    </a>\n  </div>\n</div>\n\n<Tip>\n  LangSmith offers multiple deployment options beyond Cloud, including [hybrid](/langsmith/hybrid), [standalone servers](/langsmith/deploy-standalone-server), and [self-hosted with control plane](/langsmith/deploy-with-control-plane). For more information, see the [LangSmith Deployment overview](/langsmith/deployment).\n</Tip>\n\n## LangSmith Cloud\n\nThis section walks through deploying your agent to LangSmith Cloud from a GitHub repository. LangSmith handles infrastructure, scaling, and operational concerns.\n\n### ']","Yes, you can deploy your LangChain agent on Deno Deploy using the Agent Streaming Protocol.",Elena Vance,PERFECT_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
Wat are the benefits of using LangSmith Cloud vs other frameworks for deployin agents?,"['<1-hop>\n\nLangSmith Cloud or JavaScript frameworks and hosting platforms.\n\nWhen you are ready to deploy your LangChain agent to production, choose a hosting model that fits your stack. **[LangSmith Cloud](/langsmith/deploy-to-cloud)** provides fully managed infrastructure for stateful, long-running agents with persistent state and background execution.\n\nYou can also deploy on **JavaScript frameworks and platforms** such as Next.js, SvelteKit, Nuxt, Cloudflare Workers, and Deno Deploy using the same [Agent Streaming Protocol](https://github.com/langchain-ai/agent-protocol/tree/main/streaming).\n\n<div>\n  <div>\n    <p>Frameworks and platforms</p>\n\n    <a href=""/langsmith/deploy-frameworks-and-platforms"">\n      View all guides\n    </a>\n  </div>\n\n  <div>\n    <a href=""/langsmith/deploy-vite-langsmith"">\n      <img alt="""" />\n\n      <img alt="""" />\n\n      <span>LangSmith</span>\n    </a>\n\n    <a href=""/langsmith/deploy-nextjs"">\n      <img alt="""" />\n\n      <img alt="""" />\n\n      <span>Next.js</span>\n    </a>\n\n    <a href=""/langsmith/deploy-sveltekit"">\n      <img alt="""" />\n\n      <img alt="""" />\n\n      <span>SvelteKit</span>\n    </a>\n\n    <a href=""/langsmith/deploy-nuxt"">\n      <img alt="""" />\n\n      <img alt="""" />\n\n      <span>Nuxt</span>\n    </a>\n\n    <a href=""/langsmith/deploy-cloudflare-workers"">\n      <img alt="""" />\n\n      <img alt="""" />\n\n      <span>Cloudflare</span>\n    </a>\n\n    <a href=""/langsmith/deploy-deno"">\n      <img alt="""" />\n\n      <img alt="""" />\n\n      <span>Deno</span>\n    </a>\n  </div>\n</div>\n\n<Tip>\n  LangSmith offers multiple deployment options beyond Cloud, including [hybrid](/langsmith/hybrid), [standalone servers](/langsmith/deploy-standalone-server), and [self-hosted with control plane](/langsmith/deploy-with-control-plane). For more information, see the [LangSmith Deployment overview](/langsmith/deployment).\n</Tip>\n\n## LangSmith Cloud\n\nThis section walks through deploying your agent to LangSmith Cloud from a GitHub repository. LangSmith handles infrastructure, scaling, and operational concerns.\n\n### ']","LangSmith Cloud provides fully managed infrastructure specifically designed for stateful, long-running agents that require persistent state and background execution, while also handling scaling and operational concerns. In contrast, JavaScript frameworks and platforms like Next.js, SvelteKit, Nuxt, Cloudflare Workers, and Deno Deploy allow for deployment using the Agent Streaming Protocol.",,,,multi_hop_specific_query_synthesizer
How does LangChain deep agent streaming leverage LangGraph infrastructure to provide real-time visibility into subagent execution and performance?,"['#  Streaming\nSource: https://docs.langchain.com/oss/javascript/deepagents/streaming\n\nStream real-time updates from deep agent runs and subagent execution\n\n<Tip>\n  For new applications, we recommend [event streaming](/oss/javascript/deepagents/event-streaming)—the typed-projection API introduced in Deep Agents v0.6. Event streaming gives you separate iterators per projection (subagents, messages, tool calls, values) so you can consume them independently instead of branching on `stream_mode` chunks.\n</Tip>\n\nDeep Agents build on LangGraph\'s streaming infrastructure with first-class support for subagent streams. When a deep agent delegates work to subagents, you can stream updates from each subagent independently—tracking progress, LLM tokens, and tool calls in real time.\n\nWhat\'s possible with deep agent streaming:\n\n* <Icon icon=""diagram-subtask"" /> [**Stream subagent progress**](#subagent-progress)—track each subagent\'s execution as it runs in parallel.\n* <Icon icon=""square-binary"" /> [**Stream LLM tokens**](#llm-tokens)—stream tokens from the main agent and each subagent.\n* <Icon icon=""screwdriver-wrench"" /> [**Stream tool calls**](#tool-calls)—see tool calls and results from within subagent execution.\n* <Icon icon=""table"" /> [**Stream custom updates**](#custom-updates)—emit user-defined signals from inside subagent nodes.\n\n## ']","Deep agents build upon LangGraph's streaming infrastructure to provide first-class support for subagent streams. This allows developers to track progress, LLM tokens, and tool calls in real time as the main agent delegates work. Specifically, it enables the streaming of subagent progress for parallel execution, the streaming of LLM tokens from both the main agent and subagents, the visibility of tool calls and results within subagent execution, and the emission of user-defined signals through custom updates from inside subagent nodes.",Elena Vance,WEB_SEARCH_LIKE,LONG,single_hop_specific_query_synthesizer
How does LangGraph infrastructure enable subagent streaming in Deep Agents?,"['<1-hop>\n\n#  Streaming\nSource: https://docs.langchain.com/oss/javascript/deepagents/streaming\n\nStream real-time updates from deep agent runs and subagent execution\n\n<Tip>\n  For new applications, we recommend [event streaming](/oss/javascript/deepagents/event-streaming)—the typed-projection API introduced in Deep Agents v0.6. Event streaming gives you separate iterators per projection (subagents, messages, tool calls, values) so you can consume them independently instead of branching on `stream_mode` chunks.\n</Tip>\n\nDeep Agents build on LangGraph\'s streaming infrastructure with first-class support for subagent streams. When a deep agent delegates work to subagents, you can stream updates from each subagent independently—tracking progress, LLM tokens, and tool calls in real time.\n\nWhat\'s possible with deep agent streaming:\n\n* <Icon icon=""diagram-subtask"" /> [**Stream subagent progress**](#subagent-progress)—track each subagent\'s execution as it runs in parallel.\n* <Icon icon=""square-binary"" /> [**Stream LLM tokens**](#llm-tokens)—stream tokens from the main agent and each subagent.\n* <Icon icon=""screwdriver-wrench"" /> [**Stream tool calls**](#tool-calls)—see tool calls and results from within subagent execution.\n* <Icon icon=""table"" /> [**Stream custom updates**](#custom-updates)—emit user-defined signals from inside subagent nodes.\n\n## ', '<2-hop>\n\nEnable subgraph streaming\n\nDeep Agents use LangGraph\'s subgraph streaming to surface events from subagent execution. To receive subagent events, enable `stream_subgraphs` when streaming.\n\n<CodeGroup>\n  ```ts Google theme={""theme"":{""light"":""catppuccin-latte"",""dark"":""catppuccin-mocha""}}\n  import { createDeepAgent } from ""deepagents"";\n\n  const agent = createDeepAgent({\n    model: ""google-genai:gemini-3.5-flash"",\n    systemPrompt: ""You are a helpful research assistant"",\n    subagents: [\n      {\n        name: ""researcher"",\n        description: ""Researches a topic in depth"",\n        systemPrompt: ""You are a thorough researcher."",\n      },\n    ],\n  });\n\n  for await (const [namespace, chunk] of await agent.stream(\n    {\n      messages: [\n        { role: ""user"", content: ""Research quantum computing advances"" },\n      ],\n    },\n    {\n      streamMode: ""updates"",\n      subgraphs: true, // [!code highlight]\n    },\n  )) {\n    if (namespace.length > 0) {\n      // Subagent event - namespace identifies the source\n      console.log(`[subagent: ${namespace.join(""|"")}]`);\n    } else {\n      // Main agent event\n      console.log(""[main agent]"");\n    }\n    console.log(chunk);\n  }\n  ```\n\n  ```ts OpenAI theme={""theme"":{""light"":""catppuccin-latte"",""dark"":""catppuccin-mocha""}}\n  import { createDeepAgent } from ""deepagents"";\n\n  const agent = createDeepAgent({\n    model: ""openai:gpt-5.5"",\n    systemPrompt: ""You are a helpful research assistant"",\n    subagents: [\n      {\n        name: ""researcher"",\n        description: ""Researches a topic in depth"",\n        systemPrompt: ""You are a thorough researcher."",\n      },\n    ],\n  });\n\n  for await (const [namespace, chunk] of await agent.stream(\n    {\n      messages: [\n        { role: ""user"", content: ""Research quantum computing advances"" },\n      ],\n    },\n    {\n      streamMode: ""updates"",\n      subgraphs: true, // [!code highlight]\n    },\n  )) {\n    if (namespace.length > 0) {\n      // Subagent event - namespace identifies the source\n      console.log(`[subagent: ${namespace.join(""|"")}]`);\n    } else {\n      // Main agent event\n      console.log(""[main agent]"");\n    }\n    console.log(chunk);\n  }\n  ```\n\n  ```ts Anthropic theme={""theme"":{""light"":""catppuccin-latte"",""dark"":""catppuccin-mocha""}}\n  import { createDeepAgent } from ""deepagents"";\n\n  const agent = createDeepAgent({\n    model: ""anthropic:claude-sonnet-4-6"",\n    systemPrompt: ""You are a helpful research assistant"",\n    subagents: [\n      {\n        name: ""researcher"",\n        description: ""Researches a topic in depth"",\n        systemPrompt: ""You are a thorough researcher."",\n      },\n    ],\n  });\n\n  for await (const [namespace, chunk] of aw']","Deep Agents utilize LangGraph's streaming infrastructure to provide first-class support for subagent streams, allowing developers to track progress, LLM tokens, and tool calls from subagents in real time. To surface these events during execution, developers must enable the ""subgraphs"" option (specifically `stream_subgraphs: true`) when initiating the stream.",,,,multi_hop_specific_query_synthesizer
how i set OPENAI_API_KEY in langsmith yaml?,"['# Use environment variables for model providers\nSource: https://docs.langchain.com/langsmith/self-host-playground-environment-settings\n\n\n\n<Note>\n  This feature is only available on Helm chart versions 0.10.27 (application version 0.10.74) and later.\n</Note>\n\nMany model providers support setting credentials and other configuration options through environment variables. This is useful for self-hosted deployments where you want to avoid hardcoding sensitive information in your code or configuration files. In LangSmith, most model interactions are done through the `playground` service, which allows you to configure many of those environment variables directly on the pod itself. This can be useful to avoid having to set credentials in the UI.\n\n##  Requirements\n\n* A self-hosted LangSmith instance with the `playground` service running.\n* The provider you want to configure must support environment variables for configuration. Check the provider\'s Chat Model [documentation](https://docs.langchain.com/oss/python/integrations/providers/overview) for more information.\n* The secrets/roles you may want to attach to the `playground` service.\n  * Note that for [IRSA](https://docs.aws.amazon.com/eks/latest/userguide/iam-roles-for-service-accounts.html) you may need to grant the `langsmith-playground` service account the necessary permissions to access the secrets or roles in your cloud provider.\n\n##  Configuration\n\nWith the parameters from above, you can configure your LangSmith instance to use environment variables for model providers. You can do this by modifying the `langsmith_config.yaml` file for your LangSmith Helm Chart installation.\n\n```yaml Helm theme={""theme"":{""light"":""catppuccin-latte"",""dark"":""catppuccin-mocha""}}\nplayground:\n  deployment:\n    extraEnv:\n      - name: OPENAI_BASE_URL\n        value: https://<my_proxy_url>\n      - name: OPENAI_API_KEY\n        valueFrom:\n          secretKeyRef:\n            name: <your_secret_name>\n            key: api_key\n  serviceAccount: # Can be useful if you want to use IRSA or workload identity\n    annotations:\n      eks.amazonaws.com/role-arn: <your_role_arn>\n```\n\n##  VertexAI configuration\n\nYou can configure VertexAI credentials for the playground service using either environment variables with secrets or workload identity (GCP Workload Identity for GKE or AWS IRSA for EKS).\n\n### ']","You can configure the OPENAI_API_KEY by modifying the langsmith_config.yaml file for your LangSmith Helm Chart installation. Specifically, you add it under the playground deployment's extraEnv section using a secretKeyRef to reference your secret name and the corresponding key.",Elena Vance,POOR_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
Can u explain how to configure VertexAI creds for the playground service using GKE and why workload identity is the recomended approach compared to using secrets for GKE?,"['<1-hop>\n\nUsing secrets\n\nConfigure VertexAI credentials using Kubernetes secrets:\n\n```yaml Helm theme={""theme"":{""light"":""catppuccin-latte"",""dark"":""catppuccin-mocha""}}\nplayground:\n  deployment:\n    extraEnv:\n      # Playground-specific secret (recommended)\n      - name: GOOGLE_VERTEX_AI_WEB_CREDENTIALS\n        valueFrom:\n          secretKeyRef:\n            name: gcp-vertexai-secret\n            key: credentials_json  # Your full service account JSON as string\n      # Standard fallback option\n      - name: GOOGLE_APPLICATION_CREDENTIALS\n        value: /secrets/gcp-key.json\n      # Optional: Set project/location if not in model config\n      - name: GOOGLE_CLOUD_PROJECT\n        value: ""your-gcp-project-id""\n      - name: VERTEXAI_PROJECT_ID\n        value: ""your-gcp-project-id""\n      - name: VERTEXAI_LOCATION\n        value: ""us-central1""\n    extraVolumeMounts:\n      - name: gcp-secret-volume\n        mountPath: /secrets\n        readOnly: true\n    extraVolumes:\n      - name: gcp-secret-volume\n        secret:\n          secretName: gcp-key-json  # JSON file secret\n          defaultMode: 0444\n```\n\n###  Using workload identity\n\nYou can configure the playground service account to use workload identity to assume a GCP service account role without storing credentials. This is the recommended approach for GKE clusters.\n\n#### GCP Workload Identity (GKE)\n\nFor GKE clusters, use GCP Workload Identity:\n\n<CodeGroup>\n  ```yaml Helm theme={""theme"":{""light"":""catppuccin-latte"",""dark"":""catppuccin-mocha""}}\n  playground:\n    deployment:\n      extraEnv:\n        # Optional: Set project/location if not in model config\n        - name: GOOGLE_CLOUD_PROJECT\n          val', '<2-hop>\n\n# Use environment variables for model providers\nSource: https://docs.langchain.com/langsmith/self-host-playground-environment-settings\n\n\n\n<Note>\n  This feature is only available on Helm chart versions 0.10.27 (application version 0.10.74) and later.\n</Note>\n\nMany model providers support setting credentials and other configuration options through environment variables. This is useful for self-hosted deployments where you want to avoid hardcoding sensitive information in your code or configuration files. In LangSmith, most model interactions are done through the `playground` service, which allows you to configure many of those environment variables directly on the pod itself. This can be useful to avoid having to set credentials in the UI.\n\n##  Requirements\n\n* A self-hosted LangSmith instance with the `playground` service running.\n* The provider you want to configure must support environment variables for configuration. Check the provider\'s Chat Model [documentation](https://docs.langchain.com/oss/python/integrations/providers/overview) for more information.\n* The secrets/roles you may want to attach to the `playground` service.\n  * Note that for [IRSA](https://docs.aws.amazon.com/eks/latest/userguide/iam-roles-for-service-accounts.html) you may need to grant the `langsmith-playground` service account the necessary permissions to access the secrets or roles in your cloud provider.\n\n##  Configuration\n\nWith the parameters from above, you can configure your LangSmith instance to use environment variables for model providers. You can do this by modifying the `langsmith_config.yaml` file for your LangSmith Helm Chart installation.\n\n```yaml Helm theme={""theme"":{""light"":""catppuccin-latte"",""dark"":""catppuccin-mocha""}}\nplayground:\n  deployment:\n    extraEnv:\n      - name: OPENAI_BASE_URL\n        value: https://<my_proxy_url>\n      - name: OPENAI_API_KEY\n        valueFrom:\n          secretKeyRef:\n            name: <your_secret_name>\n            key: api_key\n  serviceAccount: # Can be useful if you want to use IRSA or workload identity\n    annotations:\n      eks.amazonaws.com/role-arn: <your_role_arn>\n```\n\n##  VertexAI configuration\n\nYou can configure VertexAI credentials for the playground service using either environment variables with secrets or workload identity (GCP Workload Identity for GKE or AWS IRSA for EKS).\n\n### ']","For GKE clusters, you can configure VertexAI credentials by using GCP Workload Identity, which allows the playground service account to assume a GCP service account role without the need to store credentials. This is the recommended approach for GKE clusters because it avoids the risks associated with storing sensitive information in Kubernetes secrets or hardcoding them in configuration files. Alternatively, you can configure credentials using Kubernetes secrets by defining environment variables like GOOGLE_VERTEX_AI_WEB_CREDENTIALS or GOOGLE_APPLICATION_CREDENTIALS and mounting the secret volumes, but workload identity is preferred for better security management.",,,,multi_hop_specific_query_synthesizer
